ID,Cluster,nclust
18684,1,2
18685,1,2
18686,1,2
18687,1,2
18718,2,2
19075,2,2
19076,2,2
19077,2,2
19410,1,2
19411,2,2
19435,2,2
19436,2,2
19760,1,2
19771,1,2
19794,2,2
19795,2,2
20117,1,2
20118,1,2
20119,1,2
20131,1,2
20132,1,2
20153,1,2
20154,2,2
20368,1,2
20475,1,2
20477,1,2
20478,1,2
20479,1,2
20491,1,2
20492,2,2
20728,2,2
20729,2,2
20730,1,2
20834,1,2
20835,1,2
20838,1,2
20852,1,2
20853,1,2
21090,1,2
21091,1,2
21213,1,2
21451,1,2
21573,1,2
21574,1,2
21811,1,2
21812,1,2
21895,1,2
21934,1,2
22172,1,2
22173,2,2
22255,1,2
22294,1,2
22452,2,2
22533,1,2
22653,1,2
22654,2,2
22812,1,2
22893,2,2
22974,1,2
23013,1,2
23014,1,2
23172,2,2
23173,1,2
23253,2,2
23265,1,2
23334,1,2
23373,1,2
23374,1,2
23532,1,2
23533,1,2
23534,2,2
23625,1,2
23694,1,2
23732,1,2
23733,1,2
23734,1,2
23894,2,2
23895,1,2
23896,2,2
23897,2,2
23976,1,2
23984,1,2
24091,1,2
24092,1,2
24256,2,2
24257,2,2
24258,1,2
24259,1,2
24336,1,2
24344,1,2
24415,1,2
24450,1,2
24451,1,2
24467,1,2
24468,1,2
24485,1,2
24619,1,2
24620,1,2
24695,1,2
24696,1,2
24704,1,2
24774,1,2
24775,1,2
24776,1,2
24777,1,2
24809,1,2
24810,1,2
24825,1,2
24826,1,2
24827,1,2
24980,2,2
25055,1,2
25056,1,2
25064,1,2
25065,1,2
25078,1,2
25137,1,2
25138,1,2
25139,1,2
25140,1,2
25169,1,2
25170,1,2
25184,1,2
25185,1,2
25186,1,2
25187,1,2
25340,2,2
25341,2,2
25415,1,2
25416,1,2
25425,1,2
25500,1,2
25527,1,2
25528,1,2
25529,1,2
25544,1,2
25559,1,2
25567,1,2
25701,2,2
25776,1,2
25777,1,2
25785,1,2
25862,1,2
25863,1,2
25886,1,2
25887,1,2
25918,1,2
25919,1,2
25920,1,2
26061,1,2
26137,1,2
26138,1,2
26139,1,2
26144,1,2
26145,1,2
26223,1,2
26224,1,2
26240,1,2
26241,1,2
26242,1,2
26246,1,2
26247,1,2
26269,1,2
26277,1,2
26278,1,2
26279,1,2
26280,1,2
26421,2,2
26422,1,2
26499,1,2
26500,1,2
26501,1,2
26505,1,2
26506,1,2
26507,1,2
26583,1,2
26584,1,2
26585,1,2
26598,1,2
26599,1,2
26600,1,2
26601,1,2
26602,1,2
26606,1,2
26628,1,2
26639,1,2
26640,1,2
26781,1,2
26782,1,2
26861,1,2
26866,1,2
26867,1,2
26868,1,2
26945,1,2
26946,2,2
26948,1,2
26949,1,2
26950,1,2
26956,1,2
26957,1,2
26958,1,2
26962,1,2
26966,1,2
27009,1,2
27010,1,2
27141,1,2
27142,1,2
27221,1,2
27228,1,2
27229,1,2
27305,2,2
27306,1,2
27307,1,2
27308,1,2
27309,1,2
27310,1,2
27316,1,2
27317,1,2
27322,1,2
27324,1,2
27325,1,2
27326,1,2
27368,1,2
27369,1,2
27501,1,2
27502,1,2
27581,1,2
27588,1,2
27589,1,2
27590,1,2
27667,1,2
27668,1,2
27670,1,2
27671,1,2
27676,1,2
27677,1,2
27682,1,2
27684,1,2
27862,1,2
27863,1,2
27941,1,2
27944,1,2
27945,1,2
27946,1,2
27949,1,2
27950,1,2
28031,1,2
28032,2,2
28033,2,2
28035,1,2
28036,1,2
28037,1,2
28042,1,2
28043,1,2
28044,1,2
28223,1,2
28301,1,2
28304,1,2
28310,1,2
28391,1,2
28392,1,2
28393,1,2
28394,1,2
28395,1,2
28396,1,2
28397,1,2
28402,1,2
28403,1,2
28404,1,2
28413,1,2
28414,1,2
28415,1,2
28427,1,2
28583,2,2
28584,1,2
28634,2,2
28660,1,2
28661,1,2
28741,1,2
28743,1,2
28744,1,2
28745,1,2
28753,1,2
28763,1,2
28768,1,2
28769,1,2
28770,1,2
28771,1,2
28772,1,2
28782,1,2
28783,1,2
28786,1,2
28787,1,2
28944,1,2
28945,2,2
28994,2,2
29020,1,2
29099,1,2
29100,1,2
29101,1,2
29105,1,2
29106,1,2
29107,1,2
29121,1,2
29122,1,2
29123,1,2
29124,1,2
29127,1,2
29128,1,2
29129,1,2
29130,1,2
29131,1,2
29132,1,2
29133,1,2
29140,1,2
29141,1,2
29142,1,2
29305,2,2
29306,2,2
29354,2,2
29380,1,2
29453,1,2
29455,1,2
29456,1,2
29457,1,2
29458,1,2
29459,1,2
29460,1,2
29461,1,2
29462,1,2
29463,1,2
29464,1,2
29465,1,2
29466,1,2
29467,1,2
29468,1,2
29471,1,2
29472,1,2
29478,1,2
29479,1,2
29480,1,2
29481,1,2
29482,1,2
29483,1,2
29484,1,2
29486,1,2
29487,1,2
29488,1,2
29489,1,2
29490,1,2
29491,1,2
29492,1,2
29493,1,2
29497,1,2
29498,1,2
29499,1,2
29500,1,2
29501,1,2
29502,1,2
29666,1,2
29713,2,2
29714,2,2
29740,1,2
29809,1,2
29810,1,2
29813,2,2
29814,1,2
29815,1,2
29816,1,2
29821,1,2
29822,1,2
29826,1,2
29831,1,2
29832,1,2
29835,1,2
29838,1,2
29839,1,2
29840,1,2
29841,1,2
29844,1,2
29845,1,2
29846,1,2
29848,1,2
29856,1,2
29857,1,2
29858,1,2
29859,1,2
29860,1,2
30025,1,2
30026,1,2
30073,2,2
30099,1,2
30100,1,2
30166,1,2
30167,2,2
30168,2,2
30169,1,2
30170,2,2
30171,1,2
30172,2,2
30173,1,2
30174,1,2
30176,1,2
30181,1,2
30192,1,2
30195,1,2
30199,1,2
30200,1,2
30207,1,2
30208,1,2
30209,1,2
30210,1,2
30211,1,2
30216,1,2
30217,1,2
30218,1,2
30384,1,2
30385,1,2
30433,2,2
30459,1,2
30460,1,2
30523,1,2
30524,1,2
30525,1,2
30526,2,2
30527,2,2
30528,2,2
30529,1,2
30531,1,2
30533,1,2
30535,1,2
30540,1,2
30541,1,2
30542,1,2
30543,1,2
30544,1,2
30553,1,2
30554,1,2
30555,1,2
30558,1,2
30559,1,2
30566,1,2
30568,1,2
30569,1,2
30570,1,2
30571,1,2
30572,1,2
30575,1,2
30576,1,2
30742,1,2
30743,1,2
30820,1,2
30836,1,2
30886,2,2
30895,1,2
30897,1,2
30900,1,2
30901,2,2
30902,1,2
30903,1,2
30904,1,2
30912,1,2
30913,1,2
30914,1,2
30915,1,2
30916,1,2
30917,1,2
30918,1,2
30925,1,2
30926,1,2
30932,1,2
30933,1,2
30935,1,2
31060,1,2
31061,1,2
31096,1,2
31099,1,2
31100,1,2
31101,1,2
31102,1,2
31151,2,2
31180,1,2
31181,1,2
31241,1,2
31246,1,2
31247,1,2
31248,1,2
31249,1,2
31251,2,2
31252,2,2
31253,1,2
31254,1,2
31255,2,2
31256,1,2
31257,1,2
31259,1,2
31260,1,2
31261,1,2
31262,1,2
31263,1,2
31264,1,2
31266,1,2
31267,1,2
31268,1,2
31269,1,2
31270,1,2
31271,1,2
31273,1,2
31274,1,2
31275,1,2
31276,1,2
31283,1,2
31284,1,2
31285,1,2
31292,1,2
31293,1,2
31420,1,2
31421,1,2
31456,1,2
31457,1,2
31458,1,2
31459,1,2
31460,1,2
31461,1,2
31510,2,2
31541,1,2
31542,1,2
31600,1,2
31601,1,2
31602,1,2
31605,1,2
31606,1,2
31607,1,2
31608,1,2
31609,1,2
31611,1,2
31612,1,2
31613,1,2
31614,2,2
31617,1,2
31619,1,2
31620,1,2
31621,2,2
31622,1,2
31623,1,2
31624,1,2
31625,1,2
31626,1,2
31627,1,2
31628,1,2
31629,1,2
31630,1,2
31631,1,2
31633,1,2
31634,1,2
31635,1,2
31636,1,2
31637,1,2
31638,1,2
31640,1,2
31641,1,2
31643,1,2
31647,1,2
31648,1,2
31651,1,2
31652,1,2
31653,1,2
31769,1,2
31812,2,2
31814,1,2
31815,1,2
31816,1,2
31869,2,2
31870,1,2
31901,1,2
31902,1,2
31959,1,2
31960,1,2
31961,1,2
31964,2,2
31965,1,2
31966,1,2
31969,1,2
31970,1,2
31971,1,2
31977,1,2
31980,1,2
31981,1,2
31982,1,2
31983,1,2
31984,1,2
31985,1,2
31986,1,2
31987,1,2
31988,1,2
31989,1,2
31990,1,2
31991,1,2
31992,1,2
31993,1,2
31995,1,2
31996,1,2
31997,1,2
31998,1,2
31999,1,2
32007,1,2
32008,1,2
32010,1,2
32129,1,2
32130,1,2
32140,1,2
32170,2,2
32171,1,2
32172,1,2
32173,1,2
32174,1,2
32229,2,2
32230,2,2
32262,1,2
32263,1,2
32319,1,2
32320,1,2
32324,2,2
32325,1,2
32330,1,2
32337,1,2
32338,1,2
32340,1,2
32341,1,2
32342,1,2
32343,1,2
32344,1,2
32348,1,2
32349,1,2
32350,1,2
32351,1,2
32352,1,2
32355,1,2
32356,1,2
32489,1,2
32500,1,2
32501,1,2
32530,1,2
32531,2,2
32587,2,2
32590,2,2
32678,1,2
32679,1,2
32680,1,2
32683,2,2
32684,2,2
32685,2,2
32688,1,2
32689,2,2
32690,2,2
32698,1,2
32699,1,2
32700,1,2
32701,1,2
32702,1,2
32703,1,2
32704,1,2
32705,1,2
32708,1,2
32709,1,2
32710,1,2
32861,1,2
32862,1,2
32890,2,2
32891,1,2
32950,1,2
33038,1,2
33039,1,2
33042,1,2
33043,2,2
33044,2,2
33045,2,2
33049,2,2
33050,1,2
33051,1,2
33052,1,2
33058,1,2
33059,1,2
33061,1,2
33062,1,2
33063,1,2
33065,1,2
33066,1,2
33068,1,2
33069,1,2
33222,1,2
33223,1,2
33249,2,2
33250,2,2
33310,2,2
33396,1,2
33397,1,2
33398,1,2
33400,1,2
33401,1,2
33402,1,2
33403,2,2
33404,1,2
33406,1,2
33407,1,2
33409,1,2
33410,1,2
33412,1,2
33413,2,2
33418,1,2
33419,1,2
33426,1,2
33428,1,2
33429,1,2
33583,1,2
33609,1,2
33610,2,2
33670,2,2
33759,1,2
33760,1,2
33761,2,2
33762,2,2
33764,1,2
33766,1,2
33767,1,2
33768,1,2
33769,1,2
33774,2,2
33778,1,2
33786,1,2
33943,1,2
33968,1,2
33969,1,2
34011,2,2
34012,2,2
34013,2,2
34014,2,2
34015,2,2
34018,2,2
34019,2,2
34026,2,2
34027,2,2
34028,2,2
34029,2,2
34030,2,2
34118,1,2
34119,1,2
34121,1,2
34124,2,2
34128,1,2
34129,1,2
34135,1,2
34136,1,2
34138,1,2
34139,1,2
34148,1,2
34303,1,2
34323,1,2
34324,1,2
34325,1,2
34326,1,2
34327,1,2
34328,1,2
34370,2,2
34371,2,2
34372,2,2
34375,2,2
34376,2,2
34377,2,2
34378,2,2
34379,2,2
34380,2,2
34381,2,2
34385,2,2
34386,2,2
34389,2,2
34461,1,2
34478,1,2
34481,2,2
34483,1,2
34484,1,2
34496,2,2
34497,1,2
34498,1,2
34499,1,2
34500,1,2
34501,1,2
34502,1,2
34663,1,2
34682,1,2
34683,1,2
34684,1,2
34685,1,2
34729,2,2
34730,2,2
34742,2,2
34743,2,2
34744,2,2
34745,2,2
34746,2,2
34820,1,2
34821,1,2
34822,1,2
34840,2,2
34841,2,2
34842,2,2
34843,1,2
34857,1,2
34858,1,2
34859,1,2
34861,1,2
34862,1,2
34863,1,2
34865,1,2
34867,1,2
34875,1,2
34899,1,2
35019,1,2
35020,1,2
35022,1,2
35023,1,2
35024,1,2
35041,1,2
35042,1,2
35088,2,2
35089,2,2
35180,2,2
35182,1,2
35199,1,2
35200,2,2
35201,2,2
35217,1,2
35218,1,2
35223,1,2
35224,1,2
35225,1,2
35227,1,2
35235,1,2
35252,1,2
35259,1,2
35377,1,2
35378,1,2
35379,1,2
35380,1,2
35381,1,2
35382,1,2
35383,1,2
35384,1,2
35400,1,2
35401,1,2
35447,2,2
35448,2,2
35540,2,2
35541,2,2
35542,1,2
35559,2,2
35560,1,2
35561,2,2
35565,2,2
35566,1,2
35577,1,2
35578,1,2
35579,1,2
35583,1,2
35584,1,2
35585,1,2
35586,1,2
35587,1,2
35595,1,2
35735,1,2
35736,1,2
35737,1,2
35738,1,2
35739,1,2
35741,1,2
35742,1,2
35743,1,2
35744,1,2
35745,1,2
35748,2,2
35749,1,2
35758,1,2
35759,1,2
35760,1,2
35806,2,2
35807,2,2
35899,2,2
35900,2,2
35901,2,2
35919,2,2
35920,1,2
35925,2,2
35926,2,2
35927,2,2
35938,1,2
35939,1,2
35940,2,2
35943,1,2
35944,1,2
35945,1,2
35946,1,2
35947,1,2
35959,1,2
36095,1,2
36096,1,2
36105,1,2
36106,1,2
36108,1,2
36109,1,2
36112,1,2
36113,1,2
36114,1,2
36115,1,2
36116,1,2
36117,1,2
36118,1,2
36119,1,2
36165,2,2
36166,2,2
36167,2,2
36226,1,2
36260,2,2
36273,1,2
36278,1,2
36279,2,2
36280,1,2
36284,2,2
36285,2,2
36287,2,2
36288,2,2
36299,1,2
36300,1,2
36301,1,2
36302,1,2
36303,1,2
36304,1,2
36305,1,2
36306,1,2
36307,1,2
36454,1,2
36455,1,2
36457,1,2
36466,1,2
36467,1,2
36468,1,2
36469,1,2
36470,1,2
36471,1,2
36472,1,2
36476,1,2
36479,1,2
36480,1,2
36524,2,2
36525,2,2
36526,2,2
36584,1,2
