ID,mang_presence,salt_presence,seag_presence,cluster_5,hex_5,cluster_18,hex_18
18684,1,1,0,3,#43cd80,6,#EEDC82
18685,1,1,1,1,#cd2626,6,#EEDC82
18686,1,1,1,1,#cd2626,6,#EEDC82
18687,1,1,1,1,#cd2626,6,#EEDC82
18718,1,1,0,2,#eead0e,13,#EEAEEE
19075,1,1,0,1,#cd2626,13,#EEAEEE
19076,1,1,0,1,#cd2626,13,#EEAEEE
19077,1,1,0,1,#cd2626,13,#EEAEEE
19410,1,1,0,1,#cd2626,6,#EEDC82
19411,1,1,0,1,#cd2626,13,#EEAEEE
19435,1,1,0,1,#cd2626,13,#EEAEEE
19436,1,1,0,1,#cd2626,13,#EEAEEE
19760,1,1,0,5,#b452cd,5,#EEAD0E
19771,1,1,0,1,#cd2626,6,#EEDC82
19794,1,1,0,1,#cd2626,13,#EEAEEE
19795,1,1,0,1,#cd2626,13,#EEAEEE
20117,1,0,1,5,#b452cd,8,#43CD80
20118,1,0,1,5,#b452cd,3,#EE7600
20119,1,1,1,3,#43cd80,5,#EEAD0E
20131,1,1,0,1,#cd2626,6,#EEDC82
20132,1,1,1,1,#cd2626,6,#EEDC82
20153,1,1,0,1,#cd2626,13,#EEAEEE
20154,1,1,0,1,#cd2626,13,#EEAEEE
20368,1,1,0,1,#cd2626,13,#EEAEEE
20475,1,1,1,3,#43cd80,3,#EE7600
20477,1,1,1,5,#b452cd,3,#EE7600
20478,1,1,1,5,#b452cd,6,#EEDC82
20479,1,1,1,1,#cd2626,6,#EEDC82
20491,1,1,0,1,#cd2626,6,#EEDC82
20492,1,1,1,1,#cd2626,13,#EEAEEE
20728,1,0,0,2,#eead0e,12,#6959CD
20729,1,0,0,1,#cd2626,12,#6959CD
20730,1,0,0,1,#cd2626,18,#FF6A6A
20834,1,1,1,1,#cd2626,6,#EEDC82
20835,1,1,1,5,#b452cd,6,#EEDC82
20838,1,1,1,1,#cd2626,6,#EEDC82
20852,1,1,1,1,#cd2626,13,#EEAEEE
20853,1,1,0,1,#cd2626,13,#EEAEEE
21090,1,0,0,1,#cd2626,12,#6959CD
21091,1,0,0,1,#cd2626,1,#FF3030
21213,1,1,0,1,#cd2626,6,#EEDC82
21451,1,0,0,2,#eead0e,17,#EE799F
21573,1,1,0,1,#cd2626,6,#EEDC82
21574,1,1,0,1,#cd2626,6,#EEDC82
21811,1,0,0,1,#cd2626,1,#FF3030
21812,1,0,0,1,#cd2626,18,#FF6A6A
21895,1,1,1,3,#43cd80,3,#EE7600
21934,1,1,0,5,#b452cd,6,#EEDC82
22172,1,0,0,1,#cd2626,13,#EEAEEE
22173,1,1,0,1,#cd2626,18,#FF6A6A
22255,1,1,1,5,#b452cd,3,#EE7600
22294,1,1,1,1,#cd2626,6,#EEDC82
22452,1,0,0,4,#6ca6cd,11,#4876FF
22533,1,1,1,1,#cd2626,6,#EEDC82
22653,1,0,0,5,#b452cd,6,#EEDC82
22654,1,1,1,1,#cd2626,5,#EEAD0E
22812,1,0,0,4,#6ca6cd,11,#4876FF
22893,1,0,1,2,#eead0e,12,#6959CD
22974,1,0,1,5,#b452cd,3,#EE7600
23013,1,0,0,5,#b452cd,6,#EEDC82
23014,1,1,1,1,#cd2626,6,#EEDC82
23172,1,0,0,4,#6ca6cd,11,#4876FF
23173,1,0,0,4,#6ca6cd,11,#4876FF
23253,1,0,1,2,#eead0e,12,#6959CD
23265,1,0,1,5,#b452cd,2,#CD2626
23334,1,0,1,5,#b452cd,8,#43CD80
23373,1,1,1,1,#cd2626,6,#EEDC82
23374,1,1,1,1,#cd2626,7,#98FB98
23532,1,0,0,1,#cd2626,6,#EEDC82
23533,1,0,0,4,#6ca6cd,13,#EEAEEE
23534,1,0,0,4,#6ca6cd,13,#EEAEEE
23625,1,0,0,1,#cd2626,18,#FF6A6A
23694,1,1,1,5,#b452cd,3,#EE7600
23732,1,1,1,5,#b452cd,7,#98FB98
23733,1,1,1,1,#cd2626,5,#EEAD0E
23734,1,0,1,5,#b452cd,7,#98FB98
23894,1,0,0,4,#6ca6cd,13,#EEAEEE
23895,1,0,0,4,#6ca6cd,13,#EEAEEE
23896,1,0,0,4,#6ca6cd,11,#4876FF
23897,1,0,0,4,#6ca6cd,13,#EEAEEE
23976,1,0,0,1,#cd2626,16,#FF3E96
23984,1,1,1,1,#cd2626,7,#98FB98
24091,1,1,1,5,#b452cd,7,#98FB98
24092,1,1,1,1,#cd2626,16,#FF3E96
24256,1,0,0,4,#6ca6cd,11,#4876FF
24257,1,0,0,1,#cd2626,13,#EEAEEE
24258,1,0,0,1,#cd2626,13,#EEAEEE
24259,1,0,0,1,#cd2626,13,#EEAEEE
24336,1,0,0,1,#cd2626,16,#FF3E96
24344,1,0,1,1,#cd2626,16,#FF3E96
24415,1,1,1,5,#b452cd,8,#43CD80
24450,1,1,1,5,#b452cd,7,#98FB98
24451,1,1,1,5,#b452cd,7,#98FB98
24467,1,0,1,5,#b452cd,7,#98FB98
24468,1,0,1,5,#b452cd,8,#43CD80
24485,1,0,1,3,#43cd80,3,#EE7600
24619,1,0,0,1,#cd2626,16,#FF3E96
24620,1,0,0,1,#cd2626,16,#FF3E96
24695,1,0,0,1,#cd2626,13,#EEAEEE
24696,1,0,1,1,#cd2626,16,#FF3E96
24704,1,0,1,1,#cd2626,4,#EEC900
24774,1,0,0,5,#b452cd,9,#AEEEEE
24775,1,1,0,5,#b452cd,3,#EE7600
24776,1,1,0,5,#b452cd,3,#EE7600
24777,1,1,0,3,#43cd80,7,#98FB98
24809,1,1,0,1,#cd2626,6,#EEDC82
24810,1,1,1,1,#cd2626,13,#EEAEEE
24825,1,0,0,1,#cd2626,7,#98FB98
24826,1,0,0,5,#b452cd,7,#98FB98
24827,1,0,0,5,#b452cd,7,#98FB98
24980,1,0,0,1,#cd2626,13,#EEAEEE
25055,1,0,0,1,#cd2626,4,#EEC900
25056,1,0,0,1,#cd2626,16,#FF3E96
25064,1,0,0,1,#cd2626,16,#FF3E96
25065,1,0,1,1,#cd2626,4,#EEC900
25078,1,0,0,3,#43cd80,4,#EEC900
25137,1,1,0,1,#cd2626,18,#FF6A6A
25138,1,1,0,1,#cd2626,6,#EEDC82
25139,1,1,0,3,#43cd80,5,#EEAD0E
25140,1,1,0,5,#b452cd,7,#98FB98
25169,1,1,1,1,#cd2626,7,#98FB98
25170,1,1,1,1,#cd2626,7,#98FB98
25184,1,0,0,5,#b452cd,7,#98FB98
25185,1,0,1,3,#43cd80,7,#98FB98
25186,1,0,1,3,#43cd80,5,#EEAD0E
25187,1,0,0,5,#b452cd,6,#EEDC82
25340,1,0,0,4,#6ca6cd,13,#EEAEEE
25341,1,0,0,4,#6ca6cd,13,#EEAEEE
25415,1,0,0,1,#cd2626,4,#EEC900
25416,1,0,0,1,#cd2626,16,#FF3E96
25425,1,0,0,4,#6ca6cd,4,#EEC900
25500,1,1,0,5,#b452cd,7,#98FB98
25527,1,1,1,1,#cd2626,5,#EEAD0E
25528,1,1,1,5,#b452cd,7,#98FB98
25529,1,1,1,1,#cd2626,7,#98FB98
25544,1,0,0,5,#b452cd,6,#EEDC82
25559,1,0,1,5,#b452cd,6,#EEDC82
25567,1,0,0,1,#cd2626,6,#EEDC82
25701,1,0,0,4,#6ca6cd,13,#EEAEEE
25776,1,0,0,1,#cd2626,16,#FF3E96
25777,1,0,0,1,#cd2626,16,#FF3E96
25785,1,0,0,1,#cd2626,16,#FF3E96
25862,1,0,0,5,#b452cd,7,#98FB98
25863,1,0,0,5,#b452cd,7,#98FB98
25886,1,1,0,5,#b452cd,7,#98FB98
25887,1,1,1,5,#b452cd,7,#98FB98
25918,1,0,1,3,#43cd80,5,#EEAD0E
25919,1,0,1,3,#43cd80,5,#EEAD0E
25920,1,0,0,1,#cd2626,6,#EEDC82
26061,1,0,0,1,#cd2626,16,#FF3E96
26137,1,0,0,1,#cd2626,16,#FF3E96
26138,1,0,0,1,#cd2626,16,#FF3E96
26139,1,0,0,1,#cd2626,16,#FF3E96
26144,1,0,0,1,#cd2626,4,#EEC900
26145,1,0,0,1,#cd2626,4,#EEC900
26223,1,1,0,5,#b452cd,7,#98FB98
26224,1,1,0,5,#b452cd,6,#EEDC82
26240,1,1,1,5,#b452cd,7,#98FB98
26241,1,1,1,5,#b452cd,7,#98FB98
26242,1,1,0,5,#b452cd,7,#98FB98
26246,1,1,0,1,#cd2626,7,#98FB98
26247,1,1,1,1,#cd2626,6,#EEDC82
26269,1,0,1,5,#b452cd,5,#EEAD0E
26277,1,0,0,5,#b452cd,6,#EEDC82
26278,1,0,0,3,#43cd80,5,#EEAD0E
26279,1,0,1,3,#43cd80,5,#EEAD0E
26280,1,0,0,1,#cd2626,6,#EEDC82
26421,1,0,0,1,#cd2626,16,#FF3E96
26422,1,0,0,1,#cd2626,16,#FF3E96
26499,1,0,0,1,#cd2626,4,#EEC900
26500,1,0,0,1,#cd2626,4,#EEC900
26501,1,0,0,1,#cd2626,4,#EEC900
26505,1,0,0,3,#43cd80,4,#EEC900
26506,1,0,1,3,#43cd80,4,#EEC900
26507,1,0,0,4,#6ca6cd,4,#EEC900
26583,1,0,0,5,#b452cd,6,#EEDC82
26584,1,1,1,5,#b452cd,6,#EEDC82
26585,1,1,1,5,#b452cd,7,#98FB98
