ID,mang_presence,salt_presence,seag_presence
18684,1,1,0
18685,1,1,1
18686,1,1,1
18687,1,1,1
18718,1,1,0
19075,1,1,0
19076,1,1,0
19077,1,1,0
19410,1,1,0
19411,1,1,0
19435,1,1,0
19436,1,1,0
19760,1,1,0
19771,1,1,0
19794,1,1,0
19795,1,1,0
20117,1,0,1
20118,1,0,1
20119,1,1,1
20131,1,1,0
20132,1,1,1
20153,1,1,0
20154,1,1,0
20368,1,1,0
20475,1,1,1
20477,1,1,1
20478,1,1,1
20479,1,1,1
20491,1,1,0
20492,1,1,1
20728,1,0,0
20729,1,0,0
20730,1,0,0
20834,1,1,1
20835,1,1,1
20838,1,1,1
20852,1,1,1
20853,1,1,0
21090,1,0,0
21091,1,0,0
21213,1,1,0
21451,1,0,0
21573,1,1,0
21574,1,1,0
21811,1,0,0
21812,1,0,0
21895,1,1,1
21934,1,1,0
22172,1,0,0
22173,1,1,0
22255,1,1,1
22294,1,1,1
22452,1,0,0
22533,1,1,1
22653,1,0,0
22654,1,1,1
22812,1,0,0
22893,1,0,1
22974,1,0,1
23013,1,0,0
23014,1,1,1
23172,1,0,0
23173,1,0,0
23253,1,0,1
23265,1,0,1
23334,1,0,1
23373,1,1,1
23374,1,1,1
23532,1,0,0
23533,1,0,0
23534,1,0,0
23625,1,0,0
23694,1,1,1
23732,1,1,1
23733,1,1,1
23734,1,0,1
23894,1,0,0
23895,1,0,0
23896,1,0,0
23897,1,0,0
23976,1,0,0
23984,1,1,1
24091,1,1,1
24092,1,1,1
24256,1,0,0
24257,1,0,0
24258,1,0,0
24259,1,0,0
24336,1,0,0
24344,1,0,1
24415,1,1,1
24450,1,1,1
24451,1,1,1
24467,1,0,1
24468,1,0,1
24485,1,0,1
24619,1,0,0
24620,1,0,0
24695,1,0,0
24696,1,0,1
24704,1,0,1
24774,1,0,0
24775,1,1,0
24776,1,1,0
24777,1,1,0
24809,1,1,0
24810,1,1,1
24825,1,0,0
24826,1,0,0
24827,1,0,0
24980,1,0,0
25055,1,0,0
25056,1,0,0
25064,1,0,0
25065,1,0,1
25078,1,0,0
25137,1,1,0
25138,1,1,0
25139,1,1,0
25140,1,1,0
25169,1,1,1
25170,1,1,1
25184,1,0,0
25185,1,0,1
25186,1,0,1
25187,1,0,0
25340,1,0,0
25341,1,0,0
25415,1,0,0
25416,1,0,0
25425,1,0,0
25500,1,1,0
25527,1,1,1
25528,1,1,1
25529,1,1,1
25544,1,0,0
25559,1,0,1
25567,1,0,0
25701,1,0,0
25776,1,0,0
25777,1,0,0
25785,1,0,0
25862,1,0,0
25863,1,0,0
25886,1,1,0
25887,1,1,1
25918,1,0,1
25919,1,0,1
25920,1,0,0
26061,1,0,0
26137,1,0,0
26138,1,0,0
26139,1,0,0
26144,1,0,0
26145,1,0,0
26223,1,1,0
26224,1,1,0
26240,1,1,1
26241,1,1,1
26242,1,1,0
26246,1,1,0
26247,1,1,1
26269,1,0,1
26277,1,0,0
26278,1,0,0
26279,1,0,1
26280,1,0,0
26421,1,0,0
26422,1,0,0
26499,1,0,0
26500,1,0,0
26501,1,0,0
26505,1,0,0
26506,1,0,1
26507,1,0,0
26583,1,0,0
26584,1,1,1
26585,1,1,1
26598,1,1,1
26599,1,1,1
26600,1,1,1
26601,1,0,0
26602,1,1,0
26606,1,1,1
26628,1,0,1
26639,1,0,0
26640,1,0,0
26781,1,0,0
26782,1,0,0
26861,1,0,0
26866,1,0,1
26867,1,0,1
26868,1,0,1
26945,1,1,0
26946,1,1,0
26948,1,1,0
26949,1,1,0
26950,1,1,0
26956,1,1,1
26957,1,1,1
26958,1,1,0
26962,1,1,0
26966,1,1,1
27009,1,0,1
27010,1,1,1
27141,1,0,0
27142,1,0,0
27221,1,0,0
27228,1,0,1
27229,1,0,0
27305,1,0,0
27306,1,1,0
27307,1,1,0
27308,1,1,0
27309,1,1,0
27310,1,1,0
27316,1,1,1
27317,1,0,1
27322,1,1,0
27324,1,1,1
27325,1,1,1
27326,1,1,1
27368,1,0,1
27369,1,0,1
27501,1,0,0
27502,1,0,0
27581,1,0,1
27588,1,0,0
27589,1,0,1
27590,1,0,0
27667,1,1,0
27668,1,0,0
27670,1,1,0
27671,1,1,0
27676,1,1,1
27677,1,1,1
27682,1,1,1
27684,1,1,1
27862,1,0,0
27863,1,0,0
27941,1,0,1
27944,1,0,0
27945,1,0,1
27946,1,0,1
27949,1,0,0
27950,1,1,0
28031,1,1,0
28032,1,1,1
28033,1,1,0
28035,1,1,1
28036,1,1,1
28037,1,1,1
28042,1,1,1
28043,1,1,1
28044,1,1,1
28223,1,0,0
28301,1,0,0
28304,1,0,0
28310,1,0,0
28391,1,1,0
28392,1,1,0
28393,1,1,0
28394,1,1,1
28395,1,1,1
28396,1,0,1
28397,1,0,1
28402,1,1,1
28403,1,1,1
28404,1,1,1
28413,1,0,0
28414,1,0,0
28415,1,0,0
28427,1,0,0
28583,1,0,0
28584,1,0,0
28634,1,0,0
28660,1,0,0
28661,1,0,0
28741,1,0,0
28743,1,0,1
28744,1,0,0
28745,1,0,0
28753,1,0,0
28763,1,1,1
28768,1,0,1
28769,1,0,1
28770,1,0,1
28771,1,0,1
28772,1,0,1
28782,1,0,0
28783,1,0,0
28786,1,0,0
28787,1,0,0
28944,1,0,0
28945,1,0,0
28994,1,0,1
29020,1,0,0
29099,1,0,0
29100,1,0,0
29101,1,0,0
29105,1,0,0
29106,1,0,0
29107,1,0,0
29121,1,0,0
29122,1,0,0
29123,1,0,1
29124,1,0,1
29127,1,0,0
29128,1,0,1
29129,1,0,0
29130,1,0,1
29131,1,0,0
29132,1,0,0
29133,1,0,0
29140,1,0,0
29141,1,0,0
29142,1,0,1
29305,1,0,0
29306,1,0,0
29354,1,0,1
29380,1,0,0
29453,1,0,0
29455,1,0,1
29456,1,0,1
29457,1,0,1
29458,1,0,0
29459,1,0,1
29460,1,0,1
29461,1,0,0
29462,1,0,0
29463,1,0,0
29464,1,0,0
29465,1,0,0
29466,1,0,0
29467,1,0,1
29468,1,0,0
29471,1,0,0
29472,1,0,0
29478,1,0,0
29479,1,0,0
29480,1,0,0
29481,1,0,0
29482,1,0,0
29483,1,0,0
29484,1,0,0
29486,1,0,0
29487,1,0,0
29488,1,0,0
29489,1,0,0
29490,1,0,0
29491,1,0,0
29492,1,0,0
29493,1,0,0
29497,1,0,0
29498,1,0,0
29499,1,0,0
29500,1,0,0
29501,1,0,0
29502,1,0,0
29666,1,0,0
29713,1,0,0
29714,1,0,0
29740,1,0,0
29809,1,0,0
29810,1,0,0
29813,1,0,0
29814,1,0,1
29815,1,0,1
