dimension,indicator,habitat,label,direction,description,
Habitat Extent Change,mang_loss_rate,mg,Loss rate,-1,Instantaneous rate of mangrove extent loss.,
Habitat Extent Change,seag_loss_rate,sg,Loss rate,1,Instantaneous rate of seagrass extent change.,
Ecological Structure and Function,mang_fish_dens,mg,Fish density,1,Mean mangrove fish density (year of young/year).,
Ecological Structure and Function,mang_invert_dens,mg,Invertebrate density,1,Mean mangrove invertebrate density (year of young/year).,
Ecological Structure and Function,mang_spec_score,mg,Spp threat score,1,IUCN threatened species score for mangrove-affiliated flora and fauna (higher score = fewer threatened species).,
Ecological Structure and Function,salt_spec_score,sm,Spp threat score,1,IUCN threatened species score for saltmarsh-affiliated flora and fauna (higher score = fewer threatened species).,
Ecological Structure and Function,seag_spec_score,sg,Spp threat score,1,IUCN threatened species score for seagrass-affiliated flora and fauna (higher score = fewer threatened species).,
Ecological Structure and Function,mang_frag_area_mn_rate,mg,Fragment rate (area),1,Instantaneous rate of change in mean patch area.,
Ecological Structure and Function,mang_frag_enn_mn_rate,mg,Fragment rate (distance),-1,,
Ecological Structure and Function,mang_frag_area_mn,mg,Fragment (area),1,Mean patch area.,
Ecological Structure and Function,mang_frag_enn_mn,mg,Fragment (distance),-1,,
Ecological Structure and Function,mang_mean_age,mg,Mean age,1,Mean mangrove persistence (years).,
Ecological Structure and Function,mang_mean_agb_mg_ha,mg,AGB per ha,1,Mean mangrove above ground biomass (mg/ha).,
Ecological Structure and Function,mang_mean_SOC,mg,SOC per ha,1,Mean mangrove soil organic carbon.,
Ecological Structure and Function,mang_mean_height_m,mg,Tree height,1,Mean mangrove canopy height (m).,
Cumulative Impacts,pressure_seagrass_climate_current,sg,Climate impact,-1,"The current (2013) cumulative climate pressures calculated as the sum of Ocean acidification, Sea surface temperature and Sea level rise pressures (with seagrass ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_seagrass_land_current,sg,Land impact,-1,"The current (2013) cumulative land pressure calculated as the sum of Organic chemical pollution, Direct human and Nutrient polution pressures (with seagrass ecosystem multiplier) from Halpern et al. 2019.",
Cumulative Impacts,pressure_seagrass_marine_current,sg,Marine impact,-1,"The current (2013) cumulative marine pressure calculated as the sum of Artisinal fishing, Comercial fishing Pelagic bycatch (low, high), Commercial fishing Demersal non-destructive bycatch (low, high), Commercial fishing Demersal destructive, Light and Shipping  pressures (with seagrass ecosystem multiplier) from Halpern et al. 2019.",
