ID,cluster,cluster.name,hex
18684,1,6,#EEDC82
18685,1,6,#EEDC82
18686,1,6,#EEDC82
18687,1,6,#EEDC82
18718,2,13,#EEAEEE
19075,2,13,#EEAEEE
19076,2,13,#EEAEEE
19077,2,13,#EEAEEE
19410,1,6,#EEDC82
19411,2,13,#EEAEEE
19435,2,13,#EEAEEE
19436,2,13,#EEAEEE
19760,3,5,#EEAD0E
19771,1,6,#EEDC82
19794,2,13,#EEAEEE
19795,2,13,#EEAEEE
20117,4,8,#43CD80
20118,5,3,#EE7600
20119,3,5,#EEAD0E
20131,1,6,#EEDC82
20132,1,6,#EEDC82
20153,2,13,#EEAEEE
20154,2,13,#EEAEEE
20368,2,13,#EEAEEE
20475,5,3,#EE7600
20477,5,3,#EE7600
20478,1,6,#EEDC82
20479,1,6,#EEDC82
20491,1,6,#EEDC82
20492,2,13,#EEAEEE
20728,6,12,#6959CD
20729,6,12,#6959CD
20730,7,18,#FF6A6A
20834,1,6,#EEDC82
20835,1,6,#EEDC82
20838,1,6,#EEDC82
20852,2,13,#EEAEEE
20853,2,13,#EEAEEE
21090,6,12,#6959CD
21091,8,1,#FF3030
21213,1,6,#EEDC82
21451,9,17,#EE799F
21573,1,6,#EEDC82
21574,1,6,#EEDC82
21811,8,1,#FF3030
21812,7,18,#FF6A6A
21895,5,3,#EE7600
21934,1,6,#EEDC82
22172,2,13,#EEAEEE
22173,7,18,#FF6A6A
22255,5,3,#EE7600
22294,1,6,#EEDC82
22452,10,11,#4876FF
22533,1,6,#EEDC82
22653,1,6,#EEDC82
22654,3,5,#EEAD0E
22812,10,11,#4876FF
22893,6,12,#6959CD
22974,5,3,#EE7600
23013,1,6,#EEDC82
23014,1,6,#EEDC82
23172,10,11,#4876FF
23173,10,11,#4876FF
23253,6,12,#6959CD
23265,11,2,#CD2626
23334,4,8,#43CD80
23373,1,6,#EEDC82
23374,12,7,#98FB98
23532,1,6,#EEDC82
23533,2,13,#EEAEEE
23534,2,13,#EEAEEE
23625,7,18,#FF6A6A
23694,5,3,#EE7600
23732,12,7,#98FB98
23733,3,5,#EEAD0E
23734,12,7,#98FB98
23894,2,13,#EEAEEE
23895,2,13,#EEAEEE
23896,10,11,#4876FF
23897,2,13,#EEAEEE
23976,13,16,#FF3E96
23984,12,7,#98FB98
24091,12,7,#98FB98
24092,13,16,#FF3E96
24256,10,11,#4876FF
24257,2,13,#EEAEEE
24258,2,13,#EEAEEE
24259,2,13,#EEAEEE
24336,13,16,#FF3E96
24344,13,16,#FF3E96
24415,4,8,#43CD80
24450,12,7,#98FB98
24451,12,7,#98FB98
24467,12,7,#98FB98
24468,4,8,#43CD80
24485,5,3,#EE7600
24619,13,16,#FF3E96
24620,13,16,#FF3E96
24695,2,13,#EEAEEE
24696,13,16,#FF3E96
24704,14,4,#EEC900
24774,15,9,#AEEEEE
24775,5,3,#EE7600
24776,5,3,#EE7600
24777,12,7,#98FB98
24809,1,6,#EEDC82
24810,2,13,#EEAEEE
24825,12,7,#98FB98
24826,12,7,#98FB98
24827,12,7,#98FB98
24980,2,13,#EEAEEE
25055,14,4,#EEC900
25056,13,16,#FF3E96
25064,13,16,#FF3E96
25065,14,4,#EEC900
25078,14,4,#EEC900
25137,7,18,#FF6A6A
25138,1,6,#EEDC82
25139,3,5,#EEAD0E
25140,12,7,#98FB98
25169,12,7,#98FB98
25170,12,7,#98FB98
25184,12,7,#98FB98
25185,12,7,#98FB98
25186,3,5,#EEAD0E
25187,1,6,#EEDC82
25340,2,13,#EEAEEE
25341,2,13,#EEAEEE
25415,14,4,#EEC900
25416,13,16,#FF3E96
25425,14,4,#EEC900
25500,12,7,#98FB98
25527,3,5,#EEAD0E
25528,12,7,#98FB98
25529,12,7,#98FB98
25544,1,6,#EEDC82
25559,1,6,#EEDC82
25567,1,6,#EEDC82
25701,2,13,#EEAEEE
25776,13,16,#FF3E96
25777,13,16,#FF3E96
25785,13,16,#FF3E96
25862,12,7,#98FB98
25863,12,7,#98FB98
25886,12,7,#98FB98
25887,12,7,#98FB98
25918,3,5,#EEAD0E
25919,3,5,#EEAD0E
