"ID","cluster","cluster.name","hex"
18684,1,3,"#43cd80ff"
18685,2,1,"#cd2626ff"
18686,2,1,"#cd2626ff"
18687,2,1,"#cd2626ff"
18718,3,2,"#eead0eff"
19075,2,1,"#cd2626ff"
19076,2,1,"#cd2626ff"
19077,2,1,"#cd2626ff"
19410,2,1,"#cd2626ff"
19411,2,1,"#cd2626ff"
19435,2,1,"#cd2626ff"
19436,2,1,"#cd2626ff"
19760,4,5,"#b452cdff"
19771,2,1,"#cd2626ff"
19794,2,1,"#cd2626ff"
19795,2,1,"#cd2626ff"
20117,4,5,"#b452cdff"
20118,4,5,"#b452cdff"
20119,1,3,"#43cd80ff"
20131,2,1,"#cd2626ff"
20132,2,1,"#cd2626ff"
20153,2,1,"#cd2626ff"
20154,2,1,"#cd2626ff"
20368,2,1,"#cd2626ff"
20475,1,3,"#43cd80ff"
20477,4,5,"#b452cdff"
20478,4,5,"#b452cdff"
20479,2,1,"#cd2626ff"
20491,2,1,"#cd2626ff"
20492,2,1,"#cd2626ff"
20728,3,2,"#eead0eff"
20729,2,1,"#cd2626ff"
20730,2,1,"#cd2626ff"
20834,2,1,"#cd2626ff"
20835,4,5,"#b452cdff"
20838,2,1,"#cd2626ff"
20852,2,1,"#cd2626ff"
20853,2,1,"#cd2626ff"
21090,2,1,"#cd2626ff"
21091,2,1,"#cd2626ff"
21213,2,1,"#cd2626ff"
21451,3,2,"#eead0eff"
21573,2,1,"#cd2626ff"
21574,2,1,"#cd2626ff"
21811,2,1,"#cd2626ff"
21812,2,1,"#cd2626ff"
21895,1,3,"#43cd80ff"
21934,4,5,"#b452cdff"
22172,2,1,"#cd2626ff"
22173,2,1,"#cd2626ff"
22255,4,5,"#b452cdff"
22294,2,1,"#cd2626ff"
22452,5,4,"#6ca6cdff"
22533,2,1,"#cd2626ff"
22653,4,5,"#b452cdff"
22654,2,1,"#cd2626ff"
22812,5,4,"#6ca6cdff"
22893,3,2,"#eead0eff"
22974,4,5,"#b452cdff"
23013,4,5,"#b452cdff"
23014,2,1,"#cd2626ff"
23172,5,4,"#6ca6cdff"
23173,5,4,"#6ca6cdff"
23253,3,2,"#eead0eff"
23265,4,5,"#b452cdff"
23334,4,5,"#b452cdff"
23373,2,1,"#cd2626ff"
23374,2,1,"#cd2626ff"
23532,2,1,"#cd2626ff"
23533,5,4,"#6ca6cdff"
23534,5,4,"#6ca6cdff"
23625,2,1,"#cd2626ff"
23694,4,5,"#b452cdff"
23732,4,5,"#b452cdff"
23733,2,1,"#cd2626ff"
23734,4,5,"#b452cdff"
23894,5,4,"#6ca6cdff"
23895,5,4,"#6ca6cdff"
23896,5,4,"#6ca6cdff"
23897,5,4,"#6ca6cdff"
23976,2,1,"#cd2626ff"
23984,2,1,"#cd2626ff"
24091,4,5,"#b452cdff"
24092,2,1,"#cd2626ff"
24256,5,4,"#6ca6cdff"
24257,2,1,"#cd2626ff"
24258,2,1,"#cd2626ff"
24259,2,1,"#cd2626ff"
24336,2,1,"#cd2626ff"
24344,2,1,"#cd2626ff"
24415,4,5,"#b452cdff"
24450,4,5,"#b452cdff"
24451,4,5,"#b452cdff"
24467,4,5,"#b452cdff"
24468,4,5,"#b452cdff"
24485,1,3,"#43cd80ff"
24619,2,1,"#cd2626ff"
24620,2,1,"#cd2626ff"
24695,2,1,"#cd2626ff"
24696,2,1,"#cd2626ff"
24704,2,1,"#cd2626ff"
24774,4,5,"#b452cdff"
24775,4,5,"#b452cdff"
24776,4,5,"#b452cdff"
24777,1,3,"#43cd80ff"
24809,2,1,"#cd2626ff"
24810,2,1,"#cd2626ff"
24825,2,1,"#cd2626ff"
24826,4,5,"#b452cdff"
24827,4,5,"#b452cdff"
24980,2,1,"#cd2626ff"
25055,2,1,"#cd2626ff"
25056,2,1,"#cd2626ff"
25064,2,1,"#cd2626ff"
25065,2,1,"#cd2626ff"
25078,1,3,"#43cd80ff"
25137,2,1,"#cd2626ff"
25138,2,1,"#cd2626ff"
25139,1,3,"#43cd80ff"
25140,4,5,"#b452cdff"
25169,2,1,"#cd2626ff"
25170,2,1,"#cd2626ff"
25184,4,5,"#b452cdff"
25185,1,3,"#43cd80ff"
25186,1,3,"#43cd80ff"
25187,4,5,"#b452cdff"
25340,5,4,"#6ca6cdff"
25341,5,4,"#6ca6cdff"
25415,2,1,"#cd2626ff"
25416,2,1,"#cd2626ff"
25425,5,4,"#6ca6cdff"
25500,4,5,"#b452cdff"
25527,2,1,"#cd2626ff"
25528,4,5,"#b452cdff"
25529,2,1,"#cd2626ff"
25544,4,5,"#b452cdff"
25559,4,5,"#b452cdff"
25567,2,1,"#cd2626ff"
25701,5,4,"#6ca6cdff"
25776,2,1,"#cd2626ff"
25777,2,1,"#cd2626ff"
25785,2,1,"#cd2626ff"
25862,4,5,"#b452cdff"
25863,4,5,"#b452cdff"
